dates,otherstuff
01/01/2024,0.45173
02/01/2024,0.68832
03/01/2024,0.90818
04/01/2024,0.82835
05/01/2024,0.3459
06/01/2024,0.4424
07/01/2024,0.93231
08/01/2024,0.1891
09/01/2024,0.85822
10/01/2024,0.36035
11/01/2024,0.97062
12/01/2024,0.59326
13/01/2024,0.90495
14/01/2024,0.80103
15/01/2024,0.25328
16/01/2024,0.48653
17/01/2024,0.81617
18/01/2024,0.72739
19/01/2024,0.71421
20/01/2024,0.84269
21/01/2024,0.03163
22/01/2024,0.39359
23/01/2024,0.06848
24/01/2024,0.51587
25/01/2024,0.6306
26/01/2024,0.21321
27/01/2024,0.11135
28/01/2024,0.00454
29/01/2024,0.3864
30/01/2024,0.22946
31/01/2024,0.02565
01/02/2024,0.49985
02/02/2024,0.2921
03/02/2024,0.40767
04/02/2024,0.5731
05/02/2024,0.9205
06/02/2024,0.55426
07/02/2024,0.75157
08/02/2024,0.15486
09/02/2024,0.95585
10/02/2024,0.20715
11/02/2024,0.6295
12/02/2024,0.05487
13/02/2024,0.02654
14/02/2024,0.05887
15/02/2024,0.57272
16/02/2024,0.6087
17/02/2024,0.07127
18/02/2024,0.5567
19/02/2024,0.39602
20/02/2024,0.15473
21/02/2024,0.05086
22/02/2024,0.91983
23/02/2024,0.45361
24/02/2024,0.99846
25/02/2024,0.32552
26/02/2024,0.45976
27/02/2024,0.5041
28/02/2024,0.66216
29/02/2024,0.75987
01/03/2024,0.1703
02/03/2024,0.05124
03/03/2024,0.4527
04/03/2024,0.13657
05/03/2024,0.83389
06/03/2024,0.26687
07/03/2024,0.99032
08/03/2024,0.64915
09/03/2024,0.1664
10/03/2024,0.76658
11/03/2024,0.336
12/03/2024,0.6634
13/03/2024,0.28389
14/03/2024,0.01893
15/03/2024,0.9793
16/03/2024,0.99185
17/03/2024,0.05593
18/03/2024,0.74358
19/03/2024,0.49751
20/03/2024,0.57324
21/03/2024,0.08726
22/03/2024,0.33088
23/03/2024,0.79319
24/03/2024,0.50383
25/03/2024,0.04803
26/03/2024,0.73957
27/03/2024,0.22997
28/03/2024,0.24306
29/03/2024,0.49786
30/03/2024,0.74187
31/03/2024,0.44871
01/04/2024,0.51629
02/04/2024,0.43777
03/04/2024,0.07218
04/04/2024,0.99494
05/04/2024,0.69509
06/04/2024,0.89136
07/04/2024,0.21718
08/04/2024,0.87138
09/04/2024,0.21624
10/04/2024,0.26499
11/04/2024,0.79342
12/04/2024,0.47221
13/04/2024,0.56571
14/04/2024,0.07408
15/04/2024,0.30538
16/04/2024,0.13665
17/04/2024,0.48264
18/04/2024,0.6675
19/04/2024,0.27854
20/04/2024,0.55694
21/04/2024,0.40839
22/04/2024,0.63047
23/04/2024,0.32438
24/04/2024,0.72957
25/04/2024,0.82748
26/04/2024,0.4369
27/04/2024,0.44531
28/04/2024,0.78053
29/04/2024,0.2765
30/04/2024,0.74097
01/05/2024,0.96219
02/05/2024,0.3806
03/05/2024,0.04278
04/05/2024,0.12762
05/05/2024,0.46451
06/05/2024,0.20333
07/05/2024,0.03561
08/05/2024,0.77304
09/05/2024,0.75731
10/05/2024,0.86757
11/05/2024,0.62219
12/05/2024,0.5183
13/05/2024,0.07229
14/05/2024,0.54809
15/05/2024,0.05819
16/05/2024,0.08107
17/05/2024,0.31021
18/05/2024,0.92894
19/05/2024,0.02267
20/05/2024,0.32915
21/05/2024,0.6381
22/05/2024,0.95792
23/05/2024,0.98864
24/05/2024,0.50246
25/05/2024,0.70317
26/05/2024,0.1484
27/05/2024,0.62329
28/05/2024,0.27197
29/05/2024,0.76412
30/05/2024,0.14091
31/05/2024,0.38018
01/06/2024,0.33102
02/06/2024,0.72058
03/06/2024,0.29938
04/06/2024,0.81511
05/06/2024,0.38386
06/06/2024,0.41272
07/06/2024,0.98809
08/06/2024,0.32165
09/06/2024,0.99691
10/06/2024,0.12417
11/06/2024,0.4786
12/06/2024,0.61826
13/06/2024,0.91737
14/06/2024,0.18328
15/06/2024,0.24818
16/06/2024,0.26548
17/06/2024,0.19143
18/06/2024,0.4939
19/06/2024,0.19718
20/06/2024,0.66261
21/06/2024,0.23928
22/06/2024,0.87822
23/06/2024,0.48291
24/06/2024,0.99578
25/06/2024,0.38935
26/06/2024,0.45958
27/06/2024,0.90457
28/06/2024,0.44029
29/06/2024,0.8485
30/06/2024,0.23508
01/07/2024,0.173
02/07/2024,0.43715
03/07/2024,0.91213
04/07/2024,0.74591
05/07/2024,0.4564
06/07/2024,0.90341
07/07/2024,0.65595
08/07/2024,0.09103
09/07/2024,0.79676
10/07/2024,0.42785
