dates,otherstuff
01/01/2024,0.45173
01/02/2024,0.68832
01/03/2024,0.90818
01/04/2024,0.82835
01/05/2024,0.3459
01/06/2024,0.4424
01/07/2024,0.93231
01/08/2024,0.1891
01/09/2024,0.85822
01/10/2024,0.36035
01/11/2024,0.97062
01/12/2024,0.59326
01/13/2024,0.90495
01/14/2024,0.80103
01/15/2024,0.25328
01/16/2024,0.48653
01/17/2024,0.81617
01/18/2024,0.72739
01/19/2024,0.71421
01/20/2024,0.84269
01/21/2024,0.03163
01/22/2024,0.39359
01/23/2024,0.06848
01/24/2024,0.51587
01/25/2024,0.6306
01/26/2024,0.21321
01/27/2024,0.11135
01/28/2024,0.00454
01/29/2024,0.3864
01/30/2024,0.22946
01/31/2024,0.02565
02/01/2024,0.49985
02/02/2024,0.2921
02/03/2024,0.40767
02/04/2024,0.5731
02/05/2024,0.9205
02/06/2024,0.55426
02/07/2024,0.75157
02/08/2024,0.15486
02/09/2024,0.95585
02/10/2024,0.20715
02/11/2024,0.6295
02/12/2024,0.05487
02/13/2024,0.02654
02/14/2024,0.05887
02/15/2024,0.57272
02/16/2024,0.6087
02/17/2024,0.07127
02/18/2024,0.5567
02/19/2024,0.39602
02/20/2024,0.15473
02/21/2024,0.05086
02/22/2024,0.91983
02/23/2024,0.45361
02/24/2024,0.99846
02/25/2024,0.32552
02/26/2024,0.45976
02/27/2024,0.5041
02/28/2024,0.66216
02/29/2024,0.75987
03/01/2024,0.1703
03/02/2024,0.05124
03/03/2024,0.4527
03/04/2024,0.13657
03/05/2024,0.83389
03/06/2024,0.26687
03/07/2024,0.99032
03/08/2024,0.64915
03/09/2024,0.1664
03/10/2024,0.76658
03/11/2024,0.336
03/12/2024,0.6634
03/13/2024,0.28389
03/14/2024,0.01893
03/15/2024,0.9793
03/16/2024,0.99185
03/17/2024,0.05593
03/18/2024,0.74358
03/19/2024,0.49751
03/20/2024,0.57324
03/21/2024,0.08726
03/22/2024,0.33088
03/23/2024,0.79319
