dates,otherstuff
2024/01/01,0.45173
2024/02/01,0.68832
2024/03/01,0.90818
2024/04/01,0.82835
2024/05/01,0.3459
2024/06/01,0.4424
2024/07/01,0.93231
2024/08/01,0.1891
2024/09/01,0.85822
2024/10/01,0.36035
2024/11/01,0.97062
2024/12/01,0.59326
2024/13/01,0.90495
2024/14/01,0.80103
2024/15/01,0.25328
2024/16/01,0.48653
2024/17/01,0.81617
2024/18/01,0.72739
2024/19/01,0.71421
2024/20/01,0.84269
2024/21/01,0.03163
2024/22/01,0.39359
2024/23/01,0.06848
2024/24/01,0.51587
2024/25/01,0.6306
2024/26/01,0.21321
2024/27/01,0.11135
2024/28/01,0.00454
2024/29/01,0.3864
2024/30/01,0.22946
2024/31/01,0.02565
2024/01/02,0.49985
2024/02/02,0.2921
2024/03/02,0.40767
2024/04/02,0.5731
2024/05/02,0.9205
2024/06/02,0.55426
2024/07/02,0.75157
2024/08/02,0.15486
2024/09/02,0.95585
2024/10/02,0.20715
2024/11/02,0.6295
2024/12/02,0.05487
2024/13/02,0.02654
2024/14/02,0.05887
2024/15/02,0.57272
2024/16/02,0.6087
2024/17/02,0.07127
2024/18/02,0.5567
2024/19/02,0.39602
2024/20/02,0.15473
2024/21/02,0.05086
2024/22/02,0.91983
2024/23/02,0.45361
2024/24/02,0.99846
2024/25/02,0.32552
2024/26/02,0.45976
2024/27/02,0.5041
2024/28/02,0.66216
2024/29/02,0.75987
2024/01/03,0.1703
2024/02/03,0.05124
2024/03/03,0.4527
2024/04/03,0.13657
2024/05/03,0.83389
2024/06/03,0.26687
2024/07/03,0.99032
2024/08/03,0.64915
2024/09/03,0.1664
2024/10/03,0.76658
2024/11/03,0.336
2024/12/03,0.6634
2024/13/03,0.28389
2024/14/03,0.01893
2024/15/03,0.9793
2024/16/03,0.99185
2024/17/03,0.05593
2024/18/03,0.74358
2024/19/03,0.49751
2024/20/03,0.57324
2024/21/03,0.08726
2024/22/03,0.33088
2024/23/03,0.79319
2024/24/03,0.50383
2024/25/03,0.04803
2024/26/03,0.73957
2024/27/03,0.22997
2024/28/03,0.24306
2024/29/03,0.49786
2024/30/03,0.74187
2024/31/03,0.44871
2024/01/04,0.51629
2024/02/04,0.43777
2024/03/04,0.07218
2024/04/04,0.99494
2024/05/04,0.69509
2024/06/04,0.89136
2024/07/04,0.21718
2024/08/04,0.87138
2024/09/04,0.21624
2024/10/04,0.26499
2024/11/04,0.79342
2024/12/04,0.47221
2024/13/04,0.56571
2024/14/04,0.07408
2024/15/04,0.30538
2024/16/04,0.13665
2024/17/04,0.48264
2024/18/04,0.6675
2024/19/04,0.27854
2024/20/04,0.55694
2024/21/04,0.40839
2024/22/04,0.63047
2024/23/04,0.32438
2024/24/04,0.72957
2024/25/04,0.82748
2024/26/04,0.4369
2024/27/04,0.44531
2024/28/04,0.78053
2024/29/04,0.2765
2024/30/04,0.74097
2024/01/05,0.96219
2024/02/05,0.3806
2024/03/05,0.04278
2024/04/05,0.12762
2024/05/05,0.46451
2024/06/05,0.20333
2024/07/05,0.03561
2024/08/05,0.77304
2024/09/05,0.75731
2024/10/05,0.86757
2024/11/05,0.62219
2024/12/05,0.5183
2024/13/05,0.07229
2024/14/05,0.54809
2024/15/05,0.05819
2024/16/05,0.08107
2024/17/05,0.31021
2024/18/05,0.92894
2024/19/05,0.02267
2024/20/05,0.32915
2024/21/05,0.6381
2024/22/05,0.95792
2024/23/05,0.98864
2024/24/05,0.50246
2024/25/05,0.70317
2024/26/05,0.1484
2024/27/05,0.62329
2024/28/05,0.27197
2024/29/05,0.76412
2024/30/05,0.14091
2024/31/05,0.38018
2024/01/06,0.33102
2024/02/06,0.72058
2024/03/06,0.29938
2024/04/06,0.81511
2024/05/06,0.38386
2024/06/06,0.41272
2024/07/06,0.98809
2024/08/06,0.32165
2024/09/06,0.99691
2024/10/06,0.12417
2024/11/06,0.4786
2024/12/06,0.61826
2024/13/06,0.91737
2024/14/06,0.18328
2024/15/06,0.24818
2024/16/06,0.26548
2024/17/06,0.19143
2024/18/06,0.4939
2024/19/06,0.19718
2024/20/06,0.66261
2024/21/06,0.23928
2024/22/06,0.87822
2024/23/06,0.48291
2024/24/06,0.99578
2024/25/06,0.38935
2024/26/06,0.45958
2024/27/06,0.90457
2024/28/06,0.44029
2024/29/06,0.8485
2024/30/06,0.23508
2024/01/07,0.173
2024/02/07,0.43715
2024/03/07,0.91213
2024/04/07,0.74591
2024/05/07,0.4564
2024/06/07,0.90341
2024/07/07,0.65595
2024/08/07,0.09103
2024/09/07,0.79676
2024/10/07,0.42785
2024/11/07,0.72925
2024/12/07,0.05717
2024/13/07,0.41456
2024/14/07,0.54044
2024/15/07,0.00758
2024/16/07,0.43481
2024/17/07,0.51527
2024/18/07,0.71123
2024/19/07,0.86524
2024/20/07,0.99581
2024/21/07,0.2762
2024/22/07,0.24638
2024/23/07,0.00804
2024/24/07,0.18165
2024/25/07,0.1243
2024/26/07,0.51347
2024/27/07,0.56327
2024/28/07,0.76748
2024/29/07,0.89321
2024/30/07,0.61612
2024/31/07,0.55403
2024/01/08,0.29951
2024/02/08,0.53501
2024/03/08,0.60692
2024/04/08,0.0085
2024/05/08,0.57277
2024/06/08,0.33825
2024/07/08,0.85268
2024/08/08,0.74466
2024/09/08,0.29486
2024/10/08,0.23387
2024/11/08,0.00827
2024/12/08,0.19941
2024/13/08,0.047
2024/14/08,0.72067
2024/15/08,0.95005
2024/16/08,0.78807
2024/17/08,0.39381
2024/18/08,0.59793
2024/19/08,0.36428
2024/20/08,0.45406
2024/21/08,0.06554
2024/22/08,0.91092
2024/23/08,0.80696
2024/24/08,0.04603
2024/25/08,0.59774
2024/26/08,0.7527
2024/27/08,0.25419
2024/28/08,0.25141
2024/29/08,0.05398
2024/30/08,0.3129
2024/31/08,0.45226
2024/01/09,0.5312
2024/02/09,0.68973
2024/03/09,0.05459
2024/04/09,0.11855
2024/05/09,0.57749
2024/06/09,0.61045
2024/07/09,0.52684
2024/08/09,0.59534
2024/09/09,0.00649
2024/10/09,0.52087
2024/11/09,0.22241
2024/12/09,0.55795
2024/13/09,0.41357
2024/14/09,0.23695
2024/15/09,0.36867
2024/16/09,0.68106
2024/17/09,0.84908
2024/18/09,0.63071
2024/19/09,0.60152
2024/20/09,0.92229
2024/21/09,0.71386
2024/22/09,0.8311
2024/23/09,0.49451
2024/24/09,0.2951
2024/25/09,0.5256
2024/26/09,0.83869
2024/27/09,0.68275
2024/28/09,0.24432
2024/29/09,0.83397
2024/30/09,0.26061
2024/01/10,0.63247
2024/02/10,0.76443
2024/03/10,0.79154
2024/04/10,0.50017
2024/05/10,0.27898
2024/06/10,0.6702
2024/07/10,0.82323
2024/08/10,0.83484
2024/09/10,0.47862
2024/10/10,0.82644
2024/11/10,0.05175
2024/12/10,0.05506
2024/13/10,0.62573
2024/14/10,0.74306
2024/15/10,0.74561
2024/16/10,0.26831
2024/17/10,0.40757
2024/18/10,0.79808
2024/19/10,0.45829
2024/20/10,0.8112
2024/21/10,0.16209
2024/22/10,0.70903
2024/23/10,0.26388
2024/24/10,0.89633
2024/25/10,0.86291
2024/26/10,0.33565
2024/27/10,0.04775
2024/28/10,0.34132
2024/29/10,0.70388
2024/30/10,0.36579
2024/31/10,0.32793
2024/01/11,0.55747
2024/02/11,0.50243
2024/03/11,0.78425
2024/04/11,0.87464
2024/05/11,0.982
2024/06/11,0.11846
2024/07/11,0.84195
2024/08/11,0.80586
2024/09/11,0.88151
2024/10/11,0.34974
2024/11/11,0.74139
2024/12/11,0.54995
2024/13/11,0.58005
2024/14/11,0.49834
2024/15/11,0.72238
2024/16/11,0.97489
2024/17/11,0.29594
2024/18/11,0.66358
2024/19/11,0.21242
2024/20/11,0.51182
2024/21/11,0.29665
2024/22/11,0.20831
2024/23/11,0.15511
2024/24/11,0.90958
2024/25/11,0.57267
2024/26/11,0.20901
2024/27/11,0.66259
2024/28/11,0.38054
2024/29/11,0.34717
2024/30/11,0.20294
2024/01/12,0.36647
2024/02/12,0.50026
2024/03/12,0.01196
2024/04/12,0.08536
2024/05/12,0.94928
2024/06/12,0.34603
2024/07/12,0.06117
2024/08/12,0.37942
2024/09/12,0.53534
2024/10/12,0.01532
2024/11/12,0.28576
2024/12/12,0.56313
2024/13/12,0.51461
2024/14/12,0.47712
2024/15/12,0.5504
2024/16/12,0.24635
2024/17/12,0.56434
2024/18/12,0.72802
2024/19/12,0.4535
2024/20/12,0.51052
2024/21/12,0.63482
2024/22/12,0.23875
2024/23/12,0.71748
2024/24/12,0.03953
2024/25/12,0.2351
2024/26/12,0.92055
2024/27/12,0.75869
2024/28/12,0.51512
2024/29/12,0.41553
2024/30/12,0.61094
2024/31/12,0.29656
