dates,otherstuff
2024/01/01,0.7296
2024/01/02,0.52499
2024/01/03,0.41871
2024/01/04,0.28152
2024/01/05,0.5455
2024/01/06,0.5854
2024/01/07,0.06303
2024/01/08,0.63132
2024/01/09,0.9933
2024/01/10,0.27558
2024/01/11,0.87534
2024/01/12,0.58446
2024/01/13,0.25099
2024/01/14,0.69923
2024/01/15,0.87621
2024/01/16,0.64872
2024/01/17,0.79409
2024/01/18,0.95208
2024/01/19,0.99757
2024/01/20,0.1547
2024/01/21,0.64075
2024/01/22,0.95688
2024/01/23,0.13534
2024/01/24,0.18665
2024/01/25,0.83458
2024/01/26,0.1381
2024/01/27,0.04508
2024/01/28,0.9621
2024/01/29,0.21364
2024/01/30,0.15769
2024/01/31,0.84147
2024/02/01,0.78547
2024/02/02,0.08403
2024/02/03,0.26767
2024/02/04,0.6287
2024/02/05,0.50118
2024/02/06,0.45708
2024/02/07,0.55562
2024/02/08,0.47681
2024/02/09,0.64977
2024/02/10,0.06693
2024/02/11,0.26517
2024/02/12,0.91318
2024/02/13,0.601
2024/02/14,0.8487
2024/02/15,0.3147
2024/02/16,0.50901
2024/02/17,0.39269
2024/02/18,0.43407
2024/02/19,0.57723
2024/02/20,0.88727
2024/02/21,0.7871
2024/02/22,0.87742
2024/02/23,0.38144
2024/02/24,0.34907
2024/02/25,0.74406
2024/02/26,0.5179
2024/02/27,0.45581
2024/02/28,0.17773
2024/02/29,0.91284
2024/03/01,0.93149
2024/03/02,0.66034
2024/03/03,0.14033
2024/03/04,0.92723
2024/03/05,0.76881
2024/03/06,0.67842
2024/03/07,0.0215
2024/03/08,0.94273
2024/03/09,0.71522
2024/03/10,0.9925
2024/03/11,0.71318
2024/03/12,0.85354
2024/03/13,0.89723
2024/03/14,0.66346
2024/03/15,0.86639
2024/03/16,0.1718
2024/03/17,0.44871
2024/03/18,0.4713
2024/03/19,0.20473
2024/03/20,0.26008
2024/03/21,0.29047
2024/03/22,0.0754
2024/03/23,0.69198
2024/03/24,0.78768
2024/03/25,0.72847
2024/03/26,0.69298
2024/03/27,0.58776
2024/03/28,0.61418
2024/03/29,0.63281
2024/03/30,0.30331
2024/03/31,0.1791
2024/04/01,0.46244
2024/04/02,0.00889
2024/04/03,0.02856
2024/04/04,0.16095
2024/04/05,0.29805
2024/04/06,0.87252
2024/04/07,0.18963
2024/04/08,0.10656
2024/04/09,0.42235
2024/04/10,0.28971
2024/04/11,0.70652
2024/04/12,0.09597
2024/04/13,0.05938
2024/04/14,0.55205
2024/04/15,0.53669
2024/04/16,0.76678
2024/04/17,0.21871
2024/04/18,0.70292
2024/04/19,0.73819
2024/04/20,0.00817
2024/04/21,0.64308
2024/04/22,0.18384
2024/04/23,0.16475
2024/04/24,0.81008
2024/04/25,0.17857
2024/04/26,0.53702
2024/04/27,0.42983
2024/04/28,0.18327
2024/04/29,0.46114
2024/04/30,0.08332
2024/05/01,0.47462
2024/05/02,0.39197
2024/05/03,0.00654
2024/05/04,0.45534
2024/05/05,0.5459
2024/05/06,0.55607
2024/05/07,0.04664
2024/05/08,0.60084
2024/05/09,0.25803
2024/05/10,0.5797
2024/05/11,0.83581
2024/05/12,0.6127
2024/05/13,0.90909
2024/05/14,0.66946
2024/05/15,0.47479
2024/05/16,0.92349
2024/05/17,0.51813
2024/05/18,0.26963
2024/05/19,0.73204
2024/05/20,0.05177
2024/05/21,0.58758
2024/05/22,0.32593
2024/05/23,0.27862
2024/05/24,0.49563
2024/05/25,0.75643
2024/05/26,0.4868
2024/05/27,0.47339
2024/05/28,0.33531
2024/05/29,0.2444
2024/05/30,0.74949
2024/05/31,0.31752
2024/06/01,0.94485
2024/06/02,0.43326
2024/06/03,0.63601
2024/06/04,0.50766
2024/06/05,0.92226
2024/06/06,0.22687
2024/06/07,0.52093
2024/06/08,0.02012
2024/06/09,0.74612
2024/06/10,0.20218
2024/06/11,0.89184
2024/06/12,0.20963
2024/06/13,0.79517
2024/06/14,0.72004
2024/06/15,0.39394
2024/06/16,0.63706
2024/06/17,0.24585
2024/06/18,0.18417
2024/06/19,0.3584
2024/06/20,0.39297
2024/06/21,0.98903
2024/06/22,0.61969
2024/06/23,0.93728
2024/06/24,0.5052
2024/06/25,0.58499
2024/06/26,0.48067
2024/06/27,0.25879
2024/06/28,0.79651
2024/06/29,0.98822
2024/06/30,0.97539
2024/07/01,0.59739
2024/07/02,0.68543
2024/07/03,0.49355
2024/07/04,0.94167
2024/07/05,0.21695
2024/07/06,0.77626
2024/07/07,0.34715
2024/07/08,0.20143
2024/07/09,0.26608
2024/07/10,0.51438
2024/07/11,0.04239
2024/07/12,0.17552
2024/07/13,0.27537
2024/07/14,0.94155
2024/07/15,0.17912
2024/07/16,0.11996
2024/07/17,0.42718
2024/07/18,0.76601
2024/07/19,0.34874
2024/07/20,0.76776
2024/07/21,0.1718
2024/07/22,0.69168
2024/07/23,0.91762
2024/07/24,0.94117
2024/07/25,0.35787
2024/07/26,0.38098
2024/07/27,0.45154
2024/07/28,0.83581
2024/07/29,0.07174
2024/07/30,0.75255
2024/07/31,0.31099
2024/08/01,0.58061
2024/08/02,0.57527
2024/08/03,0.87754
2024/08/04,0.61531
2024/08/05,0.12582
2024/08/06,0.78197
2024/08/07,0.06151
2024/08/08,0.12026
2024/08/09,0.67865
2024/08/10,0.92761
2024/08/11,0.64141
2024/08/12,0.13943
2024/08/13,0.01104
2024/08/14,0.74217
2024/08/15,0.04318
2024/08/16,0.33512
2024/08/17,0.32076
2024/08/18,0.11081
2024/08/19,0.23471
2024/08/20,0.87335
